source,era,region,rows,field_id,coverage_kind,covered_rows,missing_rows,coverage_pct
majestic,1945_1959,africa,133,coordinate_evidence,normalized_field_present,133,0,100.000000
majestic,1945_1959,africa,133,source_coordinates,qualified_value,129,4,96.992481
majestic,1945_1959,africa,133,coordinate_precision,normalized_field_present,133,0,100.000000
majestic,1945_1959,africa,133,coordinate_pile_review_state,normalized_field_present,0,133,0.000000
majestic,1945_1959,africa,133,occurrence_date_role,raw_field_present,133,0,100.000000
majestic,1945_1959,africa,133,exact_date,qualified_value,122,11,91.729323
majestic,1945_1959,africa,133,time_of_day_raw,raw_field_present,116,17,87.218045
majestic,1945_1959,africa,133,time_of_day_normalized,qualified_value,102,31,76.691729
majestic,1945_1959,africa,133,reported_date_role,raw_field_present,0,133,0.000000
majestic,1945_1959,africa,133,reporting_delay_estimable,qualified_value,0,133,0.000000
majestic,1945_1959,africa,133,craft_normalized,normalized_field_present,132,1,99.248120
majestic,1945_1959,africa,133,craft_confidence,qualified_value,117,16,87.969925
majestic,1945_1959,africa,133,craft_classification_source,normalized_field_present,132,1,99.248120
majestic,1945_1959,africa,133,same_day_suitability,qualified_value,115,18,86.466165
majestic,1945_1959,africa,133,duplicate_lineage,normalized_field_present,133,0,100.000000
majestic,1945_1959,africa,133,publisher_lineage,normalized_field_present,133,0,100.000000
majestic,1945_1959,africa,133,independent_source_identity,normalized_field_present,133,0,100.000000
majestic,1945_1959,africa,133,country_assignment,derived_field_present,133,0,100.000000
majestic,1945_1959,africa,133,administrative_region,normalized_field_present,0,133,0.000000
majestic,1945_1959,africa,133,boundary_assignment_provenance,derived_field_present,133,0,100.000000
majestic,1945_1959,africa,133,duration_raw,raw_field_present,129,4,96.992481
majestic,1945_1959,africa,133,witness_count_raw,raw_explicit_value,0,133,0.000000
majestic,1945_1959,africa,133,sound_raw,raw_explicit_value,0,133,0.000000
majestic,1945_1959,africa,133,color_raw,raw_explicit_value,0,133,0.000000
majestic,1945_1959,africa,133,light_positive_mention,raw_positive_mention,0,133,0.000000
majestic,1945_1959,africa,133,behavior_raw,raw_explicit_value,0,133,0.000000
majestic,1945_1959,africa,133,evidence_raw,raw_explicit_value,0,133,0.000000
majestic,1945_1959,antarctica,1,coordinate_evidence,normalized_field_present,1,0,100.000000
majestic,1945_1959,antarctica,1,source_coordinates,qualified_value,1,0,100.000000
majestic,1945_1959,antarctica,1,coordinate_precision,normalized_field_present,1,0,100.000000
majestic,1945_1959,antarctica,1,coordinate_pile_review_state,normalized_field_present,0,1,0.000000
majestic,1945_1959,antarctica,1,occurrence_date_role,raw_field_present,1,0,100.000000
majestic,1945_1959,antarctica,1,exact_date,qualified_value,1,0,100.000000
majestic,1945_1959,antarctica,1,time_of_day_raw,raw_field_present,0,1,0.000000
majestic,1945_1959,antarctica,1,time_of_day_normalized,qualified_value,0,1,0.000000
majestic,1945_1959,antarctica,1,reported_date_role,raw_field_present,0,1,0.000000
majestic,1945_1959,antarctica,1,reporting_delay_estimable,qualified_value,0,1,0.000000
majestic,1945_1959,antarctica,1,craft_normalized,normalized_field_present,1,0,100.000000
majestic,1945_1959,antarctica,1,craft_confidence,qualified_value,1,0,100.000000
majestic,1945_1959,antarctica,1,craft_classification_source,normalized_field_present,1,0,100.000000
majestic,1945_1959,antarctica,1,same_day_suitability,qualified_value,1,0,100.000000
majestic,1945_1959,antarctica,1,duplicate_lineage,normalized_field_present,1,0,100.000000
majestic,1945_1959,antarctica,1,publisher_lineage,normalized_field_present,1,0,100.000000
majestic,1945_1959,antarctica,1,independent_source_identity,normalized_field_present,1,0,100.000000
majestic,1945_1959,antarctica,1,country_assignment,derived_field_present,1,0,100.000000
majestic,1945_1959,antarctica,1,administrative_region,normalized_field_present,0,1,0.000000
majestic,1945_1959,antarctica,1,boundary_assignment_provenance,derived_field_present,1,0,100.000000
majestic,1945_1959,antarctica,1,duration_raw,raw_field_present,1,0,100.000000
majestic,1945_1959,antarctica,1,witness_count_raw,raw_explicit_value,0,1,0.000000
majestic,1945_1959,antarctica,1,sound_raw,raw_explicit_value,0,1,0.000000
majestic,1945_1959,antarctica,1,color_raw,raw_explicit_value,0,1,0.000000
majestic,1945_1959,antarctica,1,light_positive_mention,raw_positive_mention,0,1,0.000000
majestic,1945_1959,antarctica,1,behavior_raw,raw_explicit_value,0,1,0.000000
majestic,1945_1959,antarctica,1,evidence_raw,raw_explicit_value,0,1,0.000000
majestic,1945_1959,asia,208,coordinate_evidence,normalized_field_present,208,0,100.000000
